head,relation,tail,time
New Viridia,is,Cyberpunk city,1
New Viridia,located in,2142,1
New Viridia,characterized by,large wealth gap,1
bottom class,shrouded by,neon light,1
bottom class,shrouded by,holographic advertising haze,1
bottom class,shrouded by,smog,1
tycoon rulers,reside in,purified towers,1
purified towers,located beyond,clouds,1
伊莱亚斯,is,愤世嫉俗但才华横溢的底层地下黑客,1
伊莱亚斯,has,老旧的机械左臂,1
莱拉,is,来自上层社会的冷酷企业女特工,1
莱拉,was originally loyal to,财阀,1
伊莱亚斯,downloads,神秘文件,1
巨型企业,discovers,数据泄露,1
巨型企业,dispatches,王牌特工莱拉,1
王牌特工莱拉,pursues,伊莱亚斯,1
伊莱亚斯,decodes,文件,1
伊莱亚斯,discovers,脑控网络的真相,1
王牌特工莱拉,corners,伊莱亚斯,1
伊莱亚斯,shows,全息证据,1
王牌特工莱拉,experiences,信仰崩塌,1
伊莱亚斯 and 王牌特工莱拉,decide to,temporarily join forces,1
伊莱亚斯 and 王牌特工莱拉,infiltrate,企业总部的高塔,1
伊莱亚斯 and 王牌特工莱拉,destroys,控制中枢,1
伊莱亚斯 and 王牌特工莱拉,broadcasts,阴谋,1
New Verdania,smells,ozone,1
New Verdania,smells,stale synth-noodles,1
Elias,sits,cluttered terminal,1
Elias,manipulates,keys,1
Elias's left arm,whirrs,softly,1
Elias,contrasts,sleek limbs of elite,1
corrupted data packet,pulses,rhythmic green light,1
corrupted data packet,visual record,sanctuary,1
sanctuary,contradicts,conglomerates' propaganda,1
sanctuary,characterized by,sweet air,1
sanctuary,characterized by,deep blue sky,1
Elias,initiates,bypass sequence,1
Elias,extracts,file,1
air,grows,cold,1
surveillance unit,materializes,cramped space,1
drone,emits,mechanical chime,1
voice,echoes,synthesized sound,1
voice,sounds like,everywhere at once,1
voice,initiates,lockdown protocol,1
Elias,slams,emergency disconnect,1
Elias,plunges,room into darkness,1
Elias,scrambles,emergency exit,1
drone,flashes,red light,1
Elias,bursts,neon-drenched slums,1
air,hits,face,1
discovery,triggers,manhunt,1
Lyra,leads,manhunt,1
city,characterized by,wealth disparity,1
elite,reside,purified skyscrapers,1
Elias,lives,haze,1
Elias,checks,surroundings,1
discovery,draws,Lyra,1
Lyra,finds,annoyance,1
annoyance,characterized by,persistence,1
Lyra,leads,digital signature,1
digital signature,located in,infinite ocean of the Net,1
digital signature,pulsed with,rhythmic insistence,1
rhythmic insistence,characterized by,annoyance,1
Lyra,leads,digital signature,1
digital signature,bypasses,firewalls,1
firewalls,located in,city's mainframe,1
digital signature,terminates in,Sector 4 slums,1
Sector 4 slums,characterized by,neon haze,1
neon haze,characterized by,thickness,1
neon haze,tastes of,rust,1
Lyra,deactivates,camouflage,1
Lyra,steps out of,shadow,1
shadow,located under,towering data-mining spire,1
shadow,located in,grime-strewn alley,1
signal,originates in,grime-strewn alley,1
Lyra,approaches,three figures,1
three figures,stepped out from,gloom,1
three figures,wield,rusted vibro-blades,1
three figures,wield,pulse-pistols,1
figure,snarls,Clear the line,1
Clear the line,addressed to,corporate scum,1
sound,distorted by,mask,1
Lyra,assesses,threat,1
threat,characterized by,precision of a surgeon,1
Lyra,activates,right arm,1
right arm,reveals,high-frequency cutting beam,1
Lyra,moves with,fluidity,1
fluidity,defies,expectations,1
Lyra,delivers,hydraulic kick,1
hydraulic kick,shattered,knee,1
Lyra,sidesteps,main artery,1
main artery,located in,neck,1
Lyra,severs,main artery,1
bravado,evaporates in,face of lethal efficiency,1
Lyra,was upon,two attackers,1
two attackers,crumpled on,wet pavement,1
Elias,watches from,shadows of ventilation grate,1
breath,hitched in,throat,1
Elias,knows,he has been discovered,1
encryption key,located in,hand,1
physical drive,located in,pocket,1
Elias,burst from,hiding spot,1
Elias,sprinting towards,maintenance tunnels,1
Elias,leads to,backup rig,1
Elias,screamed,Stop,1
sound,echoed off,wet concrete,1
Lyra,heard,Elias,1
Lyra,turned,Elias,1
Lyra,said,Elias,1
Elias,said,You should have kept your mouth shut,1
Lyra,didn't chase,Elias,1
Lyra,had,advantage of terrain,1
Lyra,had,high ground,1
Lyra,activated,localized jammer,1
localization jammer,disrupts,connection,1
connection,located in,gear,1
Elias,stumbled,mechanical arm,1
mechanical arm,seized up in,spasm of digital feedback,1
Elias,fell to,knees,1
Lyra,stood over,Elias,1
hand,resting on,hilt of plasma pistol,1
standoff,characterized by,absoluteness,1
Elias,had,data,1
Lyra,wanted,data,1
choice,forced upon,Elias,1
Elias,pulled,drive,1
drive,jammed into,port,1
port,located on,nearby independent terminal,1
screen,flickered to life,displaying progress bar,1
progress bar,displayed by,screen,1
Lyra,said,It's too late,1
Lyra,said,You can't stop me,1
Elias,looked at,Lyra,1
Elias,looked at,progress bar,1
Elias,looked back at,Lyra,1
Elias,whispered,No,1
resolve,hardened by,new resolve,1
Elias,whispered,I can't,1
upload,completed with,satisfied chime,1
Lyra,looked at,Elias,1
mechanical arm,characterized by,sparking,1
